Study,Experiment,Family,Genus,Species,Latitude,Longitude,Stressor,Lifestage,Response_category,Sign_change,Response_variable,Units,Duration_days,Timepoint,Sample_size.t,Sample_size.c,ECOREGION,PROVINCE,REALM,yi,vi,deltapH_z,deltapCO2_z,deltaT_z,Duration_days_z
Bolton & Levitt 1985,1,Arthrothamnaceae,Ecklonia,Ecklonia maxima,-33.966667,18.366667,T,Gametophyte,Growth,+,Length,um,7,F,2,2,Namaqua,Benguela,Temperate Southern Africa,-4.628982138,3.678434455,NA,NA,0.669239908,-0.341304808
Bolton & Levitt 1985,1,Arthrothamnaceae,Ecklonia,Ecklonia maxima,-33.966667,18.366667,T,Gametophyte,Growth,+,Length,um,7,F,2,2,Namaqua,Benguela,Temperate Southern Africa,-3.615533553,2.634010359,NA,NA,1.301156258,-0.341304808
Roleda 2009,1,Alariaceae,Alaria,Alaria esculenta,78.923594,12.039701,T,Spore/germling,Fluorescence,+,Fv/Fm,,0.333333333,F,5,5,North and East Barents Sea,Arctic,Arctic,-3.342341467,0.958562324,NA,NA,-0.341826251,-0.755096004
Roleda 2009,1,Alariaceae,Alaria,Alaria esculenta,78.923594,12.039701,T,Spore/germling,Fluorescence,+,Fv/Fm,,0.333333333,F,5,5,North and East Barents Sea,Arctic,Arctic,-6.27338965,2.367770885,NA,NA,1.174772988,-0.755096004
Roleda 2009,1,Laminariaceae,Laminaria,Laminaria digitata,78.923594,12.039701,T,Spore/germling,Fluorescence,+,Fv/Fm,,0.333333333,F,5,5,North and East Barents Sea,Arctic,Arctic,-0.811621379,0.432936463,NA,NA,-0.341826251,-0.755096004
Roleda 2009,1,Laminariaceae,Laminaria,Laminaria digitata,78.923594,12.039701,T,Spore/germling,Fluorescence,+,Fv/Fm,,0.333333333,F,5,5,North and East Barents Sea,Arctic,Arctic,0.697043294,0.424293468,NA,NA,1.174772988,-0.755096004
Roleda 2009,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.923594,12.039701,T,Spore/germling,Fluorescence,+,Fv/Fm,,0.333333333,F,5,5,North and East Barents Sea,Arctic,Arctic,-1.863947221,0.573714962,NA,NA,-0.341826251,-0.755096004
Roleda 2009,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.923594,12.039701,T,Spore/germling,Fluorescence,+,Fv/Fm,,0.333333333,F,5,5,North and East Barents Sea,Arctic,Arctic,-0.235895035,0.402782323,NA,NA,1.174772988,-0.755096004
Roleda 2009,1,Alariaceae,Alaria,Alaria esculenta,78.923594,12.039701,T,Spore/germling,Fluorescence,+,NPQ,log scale,0.333333333,F,5,5,North and East Barents Sea,Arctic,Arctic,-0.027504083,0.400037824,NA,NA,-0.341826251,-0.755096004
Roleda 2009,1,Alariaceae,Alaria,Alaria esculenta,78.923594,12.039701,T,Spore/germling,Fluorescence,+,NPQ,log scale,0.333333333,F,5,5,North and East Barents Sea,Arctic,Arctic,-0.506297446,0.412816855,NA,NA,1.174772988,-0.755096004
Roleda 2009,1,Laminariaceae,Laminaria,Laminaria digitata,78.923594,12.039701,T,Spore/germling,Fluorescence,+,NPQ,log scale,0.333333333,F,5,5,North and East Barents Sea,Arctic,Arctic,-0.309558754,0.404791331,NA,NA,-0.341826251,-0.755096004
Roleda 2009,1,Laminariaceae,Laminaria,Laminaria digitata,78.923594,12.039701,T,Spore/germling,Fluorescence,+,NPQ,log scale,0.333333333,F,5,5,North and East Barents Sea,Arctic,Arctic,-0.77960046,0.430388844,NA,NA,1.174772988,-0.755096004
Pereira et al. 2015,1,Laminariaceae,Laminaria,Laminaria ochroleuca,48.698683,-3.94125,T,Adult sporophyte,Fluorescence,+,Fv/Fm,,0.041666667,F,5,5,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,0.419777163,0.408810643,NA,NA,0.037323559,-0.773199369
Pereira et al. 2015,1,Laminariaceae,Laminaria,Laminaria ochroleuca,48.698683,-3.94125,T,Adult sporophyte,Fluorescence,+,Fv/Fm,,0.041666667,F,5,5,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,1.921366145,0.584582393,NA,NA,0.669239908,-0.773199369
Pereira et al. 2015,1,Laminariaceae,Laminaria,Laminaria ochroleuca,48.698683,-3.94125,T,Adult sporophyte,Fluorescence,+,Fv/Fm,,0.041666667,F,5,5,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,1.760009892,0.554881741,NA,NA,1.301156258,-0.773199369
Pereira et al. 2015,1,Laminariaceae,Laminaria,Laminaria ochroleuca,48.698683,-3.94125,T,Adult sporophyte,Fluorescence,+,Fv/Fm,,0.041666667,F,5,5,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,3.842732291,1.138329573,NA,NA,1.933072608,-0.773199369
Pereira et al. 2015,2,Laminariaceae,Laminaria,Laminaria ochroleuca,41.707722,-8.862583,T,Adult sporophyte,Fluorescence,+,Fv/Fm,,0.041666667,F,5,5,South European Atlantic Shelf,Lusitanian,Temperate Northern Atlantic,0.103639122,0.400537053,NA,NA,0.037323559,-0.773199369
Pereira et al. 2015,2,Laminariaceae,Laminaria,Laminaria ochroleuca,41.707722,-8.862583,T,Adult sporophyte,Fluorescence,+,Fv/Fm,,0.041666667,F,5,5,South European Atlantic Shelf,Lusitanian,Temperate Northern Atlantic,1.365715658,0.493258963,NA,NA,0.669239908,-0.773199369
Pereira et al. 2015,2,Laminariaceae,Laminaria,Laminaria ochroleuca,41.707722,-8.862583,T,Adult sporophyte,Fluorescence,+,Fv/Fm,,0.041666667,F,5,5,South European Atlantic Shelf,Lusitanian,Temperate Northern Atlantic,0.808647429,0.432695533,NA,NA,1.301156258,-0.773199369
Pereira et al. 2015,2,Laminariaceae,Laminaria,Laminaria ochroleuca,41.707722,-8.862583,T,Adult sporophyte,Fluorescence,+,Fv/Fm,,0.041666667,F,5,5,South European Atlantic Shelf,Lusitanian,Temperate Northern Atlantic,0.862557258,0.437200251,NA,NA,1.933072608,-0.773199369
Yokohama 1973,1,Alariaceae,Undaria,Undaria pinnatifida,34.666667,138.95,T,Adult sporophyte,Net primary productivity,+,Net photosynthesis,ul/mg/hr,0.020833333,F,6,6,Central Kuroshio Current,Warm Temperate Northwest Pacific,Temperate Northern Pacific,-2.002281658,0.500380493,NA,NA,-0.594592791,-0.774492466
Yokohama 1973,1,Alariaceae,Undaria,Undaria pinnatifida,34.666667,138.95,T,Adult sporophyte,Net primary productivity,+,Net photosynthesis,ul/mg/hr,0.020833333,F,6,6,Central Kuroshio Current,Warm Temperate Northwest Pacific,Temperate Northern Pacific,-2.26755075,0.547574433,NA,NA,0.669239908,-0.774492466
Yokohama 1973,1,Alariaceae,Undaria,Undaria pinnatifida,34.666667,138.95,T,Adult sporophyte,Net primary productivity,+,Net photosynthesis,ul/mg/hr,0.020833333,F,6,6,Central Kuroshio Current,Warm Temperate Northwest Pacific,Temperate Northern Pacific,2.653940779,0.626808402,NA,NA,1.933072608,-0.774492466
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Growth,+,Weight change,%/day,12,F,4,4,North and East Barents Sea,Arctic,Arctic,7.170712141,3.713694538,0.241383589,-0.214911335,NA,-0.03096141
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Growth,+,Weight change,%/day,12,F,4,4,North and East Barents Sea,Arctic,Arctic,-0.327081024,0.506686375,0.778191868,-0.345239221,NA,-0.03096141
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,Fv/Fm,,2,NF,6,6,North and East Barents Sea,Arctic,Arctic,4.143678463,1.048752967,0.241383589,-0.214911335,NA,-0.651648205
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,Fv/Fm,,6,NF,6,6,North and East Barents Sea,Arctic,Arctic,0.085921104,0.333640935,0.241383589,-0.214911335,NA,-0.403373487
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,Fv/Fm,,12,F,6,6,North and East Barents Sea,Arctic,Arctic,1.126253653,0.386185304,0.241383589,-0.214911335,NA,-0.03096141
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,Fv/Fm,,2,NF,6,6,North and East Barents Sea,Arctic,Arctic,13.40644183,7.82219511,0.778191868,-0.345239221,NA,-0.651648205
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,Fv/Fm,,6,NF,6,6,North and East Barents Sea,Arctic,Arctic,0.28078351,0.336618307,0.778191868,-0.345239221,NA,-0.403373487
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,Fv/Fm,,12,F,6,6,North and East Barents Sea,Arctic,Arctic,1.318464172,0.405764491,0.778191868,-0.345239221,NA,-0.03096141
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,Alpha,,2,NF,6,6,North and East Barents Sea,Arctic,Arctic,4.582874905,1.2084476,0.241383589,-0.214911335,NA,-0.651648205
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,Alpha,,6,NF,6,6,North and East Barents Sea,Arctic,Arctic,-0.454661485,0.341946544,0.241383589,-0.214911335,NA,-0.403373487
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,Alpha,,12,F,6,6,North and East Barents Sea,Arctic,Arctic,0.284349561,0.336702278,0.241383589,-0.214911335,NA,-0.03096141
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,Alpha,,2,NF,6,6,North and East Barents Sea,Arctic,Arctic,2.407422411,0.574820111,0.778191868,-0.345239221,NA,-0.651648205
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,Alpha,,6,NF,6,6,North and East Barents Sea,Arctic,Arctic,-3.63284669,0.883232295,0.778191868,-0.345239221,NA,-0.403373487
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,Alpha,,12,F,6,6,North and East Barents Sea,Arctic,Arctic,-0.450191398,0.341778012,0.778191868,-0.345239221,NA,-0.03096141
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,ETRmax,umol/m2/s,2,NF,6,6,North and East Barents Sea,Arctic,Arctic,1.460500786,0.422210939,0.241383589,-0.214911335,NA,-0.651648205
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,ETRmax,umol/m2/s,6,NF,6,6,North and East Barents Sea,Arctic,Arctic,3.273977522,0.779955367,0.241383589,-0.214911335,NA,-0.403373487
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,ETRmax,umol/m2/s,12,F,6,6,North and East Barents Sea,Arctic,Arctic,0.949149659,0.370870211,0.241383589,-0.214911335,NA,-0.03096141
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,ETRmax,umol/m2/s,2,NF,6,6,North and East Barents Sea,Arctic,Arctic,16.26193456,11.35210481,0.778191868,-0.345239221,NA,-0.651648205
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,ETRmax,umol/m2/s,6,NF,6,6,North and East Barents Sea,Arctic,Arctic,-1.419970365,0.417346493,0.778191868,-0.345239221,NA,-0.403373487
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Fluorescence,+,ETRmax,umol/m2/s,12,F,6,6,North and East Barents Sea,Arctic,Arctic,-0.895005388,0.366709777,0.778191868,-0.345239221,NA,-0.03096141
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Pigments,+,Chlorophyll a,mg/g,2,NF,4,4,North and East Barents Sea,Arctic,Arctic,2.616836689,0.927989641,0.241383589,-0.214911335,NA,-0.651648205
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Pigments,+,Chlorophyll a,mg/g,6,NF,4,4,North and East Barents Sea,Arctic,Arctic,3.720123208,1.364957293,0.241383589,-0.214911335,NA,-0.403373487
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Pigments,+,Chlorophyll a,mg/g,12,F,4,4,North and East Barents Sea,Arctic,Arctic,6.266645157,2.954427595,0.241383589,-0.214911335,NA,-0.03096141
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Pigments,+,Chlorophyll a,mg/g,2,NF,4,4,North and East Barents Sea,Arctic,Arctic,-4.625548959,1.837231448,0.778191868,-0.345239221,NA,-0.651648205
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Pigments,+,Chlorophyll a,mg/g,6,NF,4,4,North and East Barents Sea,Arctic,Arctic,-0.731343181,0.533428928,0.778191868,-0.345239221,NA,-0.403373487
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Pigments,+,Chlorophyll a,mg/g,12,F,4,4,North and East Barents Sea,Arctic,Arctic,-3.230603828,1.152300068,0.778191868,-0.345239221,NA,-0.03096141
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Pigments,+,Carotenoids,mg/g,2,NF,4,4,North and East Barents Sea,Arctic,Arctic,2.211681135,0.80572084,0.241383589,-0.214911335,NA,-0.651648205
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Pigments,+,Carotenoids,mg/g,6,NF,4,4,North and East Barents Sea,Arctic,Arctic,2.70443965,0.957124614,0.241383589,-0.214911335,NA,-0.403373487
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Pigments,+,Carotenoids,mg/g,12,F,4,4,North and East Barents Sea,Arctic,Arctic,4.313032733,1.66264071,0.241383589,-0.214911335,NA,-0.03096141
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Pigments,+,Carotenoids,mg/g,2,NF,4,4,North and East Barents Sea,Arctic,Arctic,-8.099418441,4.600036193,0.778191868,-0.345239221,NA,-0.651648205
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Pigments,+,Carotenoids,mg/g,6,NF,4,4,North and East Barents Sea,Arctic,Arctic,-1.235206452,0.595358436,0.778191868,-0.345239221,NA,-0.403373487
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Pigments,+,Carotenoids,mg/g,12,F,4,4,North and East Barents Sea,Arctic,Arctic,-3.154061614,1.121756542,0.778191868,-0.345239221,NA,-0.03096141
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Biochemical composition,+,Carbon,%,2,NF,8,8,North and East Barents Sea,Arctic,Arctic,-1.549640895,0.325043341,0.241383589,-0.214911335,NA,-0.651648205
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Biochemical composition,+,Carbon,%,6,NF,8,8,North and East Barents Sea,Arctic,Arctic,-0.859458169,0.273083386,0.241383589,-0.214911335,NA,-0.403373487
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Biochemical composition,+,Carbon,%,12,F,8,8,North and East Barents Sea,Arctic,Arctic,-1.157774535,0.291888809,0.241383589,-0.214911335,NA,-0.03096141
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Biochemical composition,+,Carbon,%,2,NF,8,8,North and East Barents Sea,Arctic,Arctic,1.930953672,0.36651819,0.778191868,-0.345239221,NA,-0.651648205
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Biochemical composition,+,Carbon,%,6,NF,8,8,North and East Barents Sea,Arctic,Arctic,0.57442602,0.260311414,0.778191868,-0.345239221,NA,-0.403373487
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Biochemical composition,+,Carbon,%,12,F,8,8,North and East Barents Sea,Arctic,Arctic,-0.525596615,0.258632869,0.778191868,-0.345239221,NA,-0.03096141
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Biochemical composition,+,Nitrogen,%,2,NF,8,8,North and East Barents Sea,Arctic,Arctic,2.688399744,0.475859162,0.241383589,-0.214911335,NA,-0.651648205
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Biochemical composition,+,Nitrogen,%,6,NF,8,8,North and East Barents Sea,Arctic,Arctic,-3.644362151,0.665042984,0.241383589,-0.214911335,NA,-0.403373487
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Biochemical composition,+,Nitrogen,%,12,F,8,8,North and East Barents Sea,Arctic,Arctic,-0.504871813,0.257965486,0.241383589,-0.214911335,NA,-0.03096141
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Biochemical composition,+,Nitrogen,%,2,NF,8,8,North and East Barents Sea,Arctic,Arctic,-2.402236086,0.430335569,0.778191868,-0.345239221,NA,-0.651648205
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Biochemical composition,+,Nitrogen,%,6,NF,8,8,North and East Barents Sea,Arctic,Arctic,-2.692444973,0.476539373,0.778191868,-0.345239221,NA,-0.403373487
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Biochemical composition,+,Nitrogen,%,12,F,8,8,North and East Barents Sea,Arctic,Arctic,-2.176020949,0.397970849,0.778191868,-0.345239221,NA,-0.03096141
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Enzyme activity,+,External carbonic anhydrase,REA/g FW,2,NF,4,4,North and East Barents Sea,Arctic,Arctic,1.322073274,0.609242359,0.241383589,-0.214911335,NA,-0.651648205
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Enzyme activity,+,External carbonic anhydrase,REA/g FW,6,NF,4,4,North and East Barents Sea,Arctic,Arctic,3.204279121,1.141712793,0.241383589,-0.214911335,NA,-0.403373487
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Enzyme activity,+,External carbonic anhydrase,REA/g FW,12,F,4,4,North and East Barents Sea,Arctic,Arctic,2.367794233,0.850403096,0.241383589,-0.214911335,NA,-0.03096141
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Enzyme activity,+,External carbonic anhydrase,REA/g FW,2,NF,4,4,North and East Barents Sea,Arctic,Arctic,0.595966463,0.522198502,0.778191868,-0.345239221,NA,-0.651648205
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Enzyme activity,+,External carbonic anhydrase,REA/g FW,6,NF,4,4,North and East Barents Sea,Arctic,Arctic,6.284926328,2.968768684,0.778191868,-0.345239221,NA,-0.403373487
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Enzyme activity,+,External carbonic anhydrase,REA/g FW,12,F,4,4,North and East Barents Sea,Arctic,Arctic,1.652084778,0.670586507,0.778191868,-0.345239221,NA,-0.03096141
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Enzyme activity,+,Nitrate reductase activity,umol/g/h,2,NF,4,4,North and East Barents Sea,Arctic,Arctic,6.846075753,3.429297076,0.241383589,-0.214911335,NA,-0.651648205
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Enzyme activity,+,Nitrate reductase activity,umol/g/h,6,NF,4,4,North and East Barents Sea,Arctic,Arctic,1.290805573,0.604136189,0.241383589,-0.214911335,NA,-0.403373487
Gordillo et al. 2015,1,Alariaceae,Alaria,Alaria esculenta,78.916667,11.933333,OA,Young sporophyte,Enzyme activity,+,Nitrate reductase activity,umol/g/h,12,F,4,4,North and East Barents Sea,Arctic,Arctic,1.970537878,0.742688721,0.241383589,-0.214911335,NA,-0.03096141
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Enzyme activity,+,Nitrate reductase activity,umol/g/h,2,NF,4,4,North and East Barents Sea,Arctic,Arctic,0,0.5,0.778191868,-0.345239221,NA,-0.651648205
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Enzyme activity,+,Nitrate reductase activity,umol/g/h,6,NF,4,4,North and East Barents Sea,Arctic,Arctic,-0.228267072,0.503256616,0.778191868,-0.345239221,NA,-0.403373487
Gordillo et al. 2015,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.916667,11.933333,OA,Young sporophyte,Enzyme activity,+,Nitrate reductase activity,umol/g/h,12,F,4,4,North and East Barents Sea,Arctic,Arctic,-0.476031488,0.514162874,0.778191868,-0.345239221,NA,-0.03096141
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.066044,12.608806,OA,Young sporophyte,Biochemical composition,+,Carbon,% dry weight,18,F,5,5,North and East Barents Sea,Arctic,Arctic,-0.215473359,0.402321438,-1.046956281,-1.396007799,NA,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.066044,12.608806,OA,Young sporophyte,Biochemical composition,+,Carbon,% dry weight,18,F,5,5,North and East Barents Sea,Arctic,Arctic,0.104660498,0.400547691,0.617149384,0.531758843,NA,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.066044,12.608806,T,Young sporophyte,Biochemical composition,+,Carbon,% dry weight,18,F,5,5,North and East Barents Sea,Arctic,Arctic,-0.582393876,0.416959131,NA,NA,-0.367102905,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.066044,12.608806,OA + T,Young sporophyte,Biochemical composition,+,Carbon,% dry weight,18,F,5,5,North and East Barents Sea,Arctic,Arctic,-0.691802471,0.423929533,-1.100637109,-1.290116392,-0.316549597,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.066044,12.608806,OA + T,Young sporophyte,Biochemical composition,+,Carbon,% dry weight,18,F,5,5,North and East Barents Sea,Arctic,Arctic,-1.995956498,0.599192117,0.563468556,0.8087056,-0.316549597,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.183828,7.872645,OA,Young sporophyte,Biochemical composition,+,Carbon,% dry weight,18,F,5,5,North Sea,Northern European Seas,Temperate Northern Atlantic,-0.527563494,0.413916162,-0.778552142,-1.113630714,NA,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.183828,7.872645,OA,Young sporophyte,Biochemical composition,+,Carbon,% dry weight,18,F,5,5,North Sea,Northern European Seas,Temperate Northern Atlantic,-0.808902492,0.432716162,0.617149384,0.700099029,NA,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.183828,7.872645,T,Young sporophyte,Biochemical composition,+,Carbon,% dry weight,18,F,5,5,North Sea,Northern European Seas,Temperate Northern Atlantic,-1.222385298,0.474711291,NA,NA,-0.013229749,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.183828,7.872645,OA + T,Young sporophyte,Biochemical composition,+,Carbon,% dry weight,18,F,5,5,North Sea,Northern European Seas,Temperate Northern Atlantic,-1.546202246,0.519537069,-0.778552142,-1.075618414,-0.063783057,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.183828,7.872645,OA + T,Young sporophyte,Biochemical composition,+,Carbon,% dry weight,18,F,5,5,North Sea,Northern European Seas,Temperate Northern Atlantic,-1.042219762,0.454311102,0.617149384,0.8847302,0.012046905,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.066044,12.608806,OA,Young sporophyte,Biochemical composition,+,Soluble carbohydrates,mg/g,18,F,5,5,North and East Barents Sea,Arctic,Arctic,-0.312630597,0.404886895,-1.046956281,-1.396007799,NA,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.066044,12.608806,OA,Young sporophyte,Biochemical composition,+,Soluble carbohydrates,mg/g,18,F,5,5,North and East Barents Sea,Arctic,Arctic,-0.718297333,0.425797553,0.617149384,0.531758843,NA,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.066044,12.608806,T,Young sporophyte,Biochemical composition,+,Soluble carbohydrates,mg/g,18,F,5,5,North and East Barents Sea,Arctic,Arctic,-0.310750037,0.404828279,NA,NA,-0.367102905,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.066044,12.608806,OA + T,Young sporophyte,Biochemical composition,+,Soluble carbohydrates,mg/g,18,F,5,5,North and East Barents Sea,Arctic,Arctic,-0.390032381,0.407606263,-1.100637109,-1.290116392,-0.316549597,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,78.066044,12.608806,OA + T,Young sporophyte,Biochemical composition,+,Soluble carbohydrates,mg/g,18,F,5,5,North and East Barents Sea,Arctic,Arctic,-1.449938833,0.505116131,0.563468556,0.8087056,-0.316549597,0.341450666
Olischlager et al. 2014,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.183828,7.872645,OA,Young sporophyte,Biochemical composition,+,Soluble carbohydrates,mg/g,18,F,5,5,North Sea,Northern European Seas,Temperate Northern Atlantic,1.288193772,0.48297216,-0.778552142,-1.113630714,NA,0.341450666
